0,1,2,3,4,5,6,7
10327225,完整教材錄影,完整投影片,NA,NA,NA,NA,NA
10327225,完整投影片,完整教材錄影,討論,教材下載,NA,NA,NA
10327225,相關規定,教材下載,NA,NA,NA,NA,NA
10427106,完整投影片,NA,NA,NA,NA,NA,NA
10427106,完整投影片,測驗,討論,NA,NA,NA,NA
10427106,完整教材錄影,教材下載,討論,NA,NA,NA,NA
10427125,完整教材錄影,完整投影片,完整教材錄影,重點整理,NA,NA,NA
10427125,重點整理,完整教材錄影,完整投影片,重點整理,NA,NA,NA
10427125,重點整理,NA,NA,NA,NA,NA,NA
10427150,完整教材錄影,NA,NA,NA,NA,NA,NA
10520121,重點整理,教材下載,完整教材錄影,NA,NA,NA,NA
10524127,考古題,NA,NA,NA,NA,NA,NA
10524127,完整投影片,完整教材錄影,完整投影片,完整教材錄影,相關規定,NA,NA
10524153,考古題,教材下載,NA,NA,NA,NA,NA
10527102,完整教材錄影,教材下載,完整教材錄影,完整投影片,NA,NA,NA
10527102,完整投影片,討論,NA,NA,NA,NA,NA
10527108,考古題,完整投影片,重點整理,NA,NA,NA,NA
10527117,完整投影片,完整教材錄影,NA,NA,NA,NA,NA
10527120,完整投影片,NA,NA,NA,NA,NA,NA
10527124,考古題,完整教材錄影,NA,NA,NA,NA,NA
10527144,完整投影片,完整教材錄影,課程相關疑難釋疑含相關規定,完整教材錄影,重點整理,完整教材錄影,NA
10527144,完整教材錄影,測驗,考古題,NA,NA,NA,NA
10527144,考古題,相關規定,完整教材錄影,NA,NA,NA,NA
10527144,完整教材錄影,測驗,完整投影片,完整教材錄影,NA,NA,NA
10527144,完整教材錄影,完整投影片,完整教材錄影,完整投影片,NA,NA,NA
10527144,完整投影片,重點整理,完整投影片,NA,NA,NA,NA
10527144,完整教材錄影,討論,完整投影片,完整教材錄影,NA,NA,NA
10527144,完整教材錄影,討論,測驗,重點整理,完整教材錄影,完整投影片,完整教材錄影
10527144,完整投影片,NA,NA,NA,NA,NA,NA
10527152,完整教材錄影,NA,NA,NA,NA,NA,NA
10527212,重點整理,教材下載,重點整理,NA,NA,NA,NA
10527217,完整教材錄影,測驗,完整教材錄影,課程相關疑難釋疑含相關規定,重點整理,NA,NA
10527238,完整教材錄影,NA,NA,NA,NA,NA,NA
10527238,完整教材錄影,完整投影片,教材下載,完整教材錄影,NA,NA,NA
10612150,完整教材錄影,教材下載,NA,NA,NA,NA,NA
10612150,教材下載,NA,NA,NA,NA,NA,NA
10612150,完整教材錄影,NA,NA,NA,NA,NA,NA
10612150,完整教材錄影,完整投影片,完整教材錄影,完整投影片,完整教材錄影,NA,NA
10612150,完整教材錄影,重點整理,NA,NA,NA,NA,NA
10612150,重點整理,完整教材錄影,NA,NA,NA,NA,NA
10612150,完整教材錄影,NA,NA,NA,NA,NA,NA
10612150,完整教材錄影,NA,NA,NA,NA,NA,NA
10612150,完整教材錄影,教材下載,完整教材錄影,教材下載,NA,NA,NA
10620101,完整教材錄影,完整投影片,重點整理,測驗,完整投影片,NA,NA
10620101,完整教材錄影,完整投影片,討論,測驗,教材下載,NA,NA
10620101,教材下載,完整投影片,教材下載,完整投影片,教材下載,完整投影片,NA
10620107,完整投影片,NA,NA,NA,NA,NA,NA
10620107,完整投影片,NA,NA,NA,NA,NA,NA
10620107,完整投影片,NA,NA,NA,NA,NA,NA
10620107,完整投影片,NA,NA,NA,NA,NA,NA
